ReviewID,CustomerID,ProductID,ProductName,ReviewDate,Rating,ReviewText,BERT_SentimentScore,SentimentBucket,IssueType,IssueConfidence,BusinessOutput
1,77,18,Volleyball,2023-12-23,3,"Average  experience,  nothing  special.",-0.9992826581001282,Mixed Negative,support,0.2637,support
2,80,19,Hockey Stick,2024-12-25,5,The  quality  is    top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
3,50,13,Swim Goggles,2025-01-26,4,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
4,78,15,Climbing Rope,2025-04-21,3,"Average quality, delivery was slightly delayed.",-0.998961329460144,Mixed Negative,support,0.2442,support
5,64,2,Fitness Tracker,2023-07-16,3,"Average  experience,  nothing  special.",-0.9992826581001282,Mixed Negative,support,0.2637,support
6,81,1,Running Shoes,2025-12-21,4,Customer  support  was  very  helpful.,0.9991816878318788,Positive,,0.3455,Customer satisfied.
7,16,1,Running Shoes,2024-01-29,3,"Average  experience,  nothing  special.",-0.9992826581001282,Mixed Negative,support,0.2637,support
8,55,8,Football Helmet,2024-08-15,5,The material feels standard and usable.,0.9990397095680236,Positive,,0.3445,Customer satisfied.
9,3,13,Swim Goggles,2023-09-01,4,"I  love  this  product,  will  buy  again!",0.9998741149902344,Positive,,0.2354,Customer satisfied.
10,78,6,Tennis Racket,2024-06-17,5,"Excellent  product,  highly  recommend!",0.9998780488967896,Positive,,0.2978,Customer satisfied.
11,54,9,Baseball Glove,2023-07-17,4,"Great  purchase,  very  satisfied.",0.9998626708984376,Positive,,0.2698,Customer satisfied.
12,77,2,Fitness Tracker,2025-01-13,2,Product  did    not  meet  my  expectations.,-0.9997606873512268,Negative,quality,0.2876,quality
13,93,6,Tennis Racket,2024-08-20,5,"Great  purchase,  very  satisfied.",0.9998626708984376,Positive,,0.2698,Customer satisfied.
14,23,2,Fitness Tracker,2025-06-16,4,Very durable and performs well for daily use.,0.9998507499694824,Positive,,0.4388,Customer satisfied.
15,29,11,Ski Boots,2023-01-27,5,"Great  purchase,  very  satisfied.",0.9998626708984376,Positive,,0.2698,Customer satisfied.
16,95,17,Surfboard,2023-01-06,5,"Excellent  product,  highly  recommend!",0.9998780488967896,Positive,,0.2978,Customer satisfied.
