.venv\Scripts\activateReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket,Issue_Type
1,77,18,23-12-2023,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,Quality & Performance
2,80,19,25-12-2024,5,The  quality  is    top-notch.,0,Positive,-1.0 to -0.5,
3,50,13,26-01-2025,4,Five  stars  for  the  quick  delivery.,0,Positive,-1.0 to -0.5,
4,78,15,21-04-2025,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.01 to 0.49,
5,64,2,16-07-2023,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,Quality & Performance
6,81,1,21-12-2025,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,
7,16,1,29-01-2024,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,Quality & Performance
8,55,8,15-08-2024,5,The  quality    is  top-notch.,0,Positive,-1.0 to -0.5,
9,3,13,01-09-2023,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,
10,78,6,17-06-2024,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,
11,54,9,17-07-2023,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,
12,77,2,13-01-2025,2,Product  did    not  meet  my  expectations.,0,Negative,-1.0 to -0.5,Quality & Performance
13,93,6,20-08-2024,5,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,
14,23,2,16-06-2025,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.01 to 0.49,
15,29,11,27-01-2023,5,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,
16,95,17,06-01-2023,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,
17,88,4,29-10-2025,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0,Pricing & Value
18,17,16,23-11-2024,4,Shipping  was  fast  and  the  item  was  well-packaged.,0,Positive,-1.0 to -0.5,
19,34,13,04-01-2024,4,The  quality  is  top-notch.,0,Positive,-1.0 to -0.5,
20,34,6,29-04-2023,1,I  had  a  bad  experience  with  this  product.,-0.5423,Negative,-1.0 to -0.5,Quality & Performance
21,22,15,08-04-2023,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0,
22,52,3,30-10-2025,4,The  quality  is  top-notch.,0,Positive,-1.0 to -0.5,
23,69,18,02-07-2023,5,Five  stars  for  the  quick  delivery.,0,Positive,-1.0 to -0.5,
24,100,4,18-07-2025,3,"I  love  this    product,  will  buy  again!",0.6696,Mixed Positive,0.5 to 1.0,
25,55,20,19-12-2024,4,Shipping  was  fast  and  the  item  was  well-packaged.,0,Positive,-1.0 to -0.5,
26,76,11,21-08-2024,4,Five  stars  for  the  quick  delivery.,0,Positive,-1.0 to -0.5,
27,56,6,24-11-2025,4,The  quality  is  top-notch.,0,Positive,-1.0 to -0.5,
28,76,8,27-05-2025,5,Five  stars  for  the  quick  delivery.,0,Positive,-1.0 to -0.5,
29,38,13,31-05-2023,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,
30,84,6,18-03-2024,4,Five  stars  for  the  quick  delivery.,0,Positive,-1.0 to -0.5,
31,93,4,25-08-2025,3,"Good  quality,  but  could  be    cheaper.",0.2382,Mixed Positive,0.01 to 0.49,
32,91,1,15-07-2023,4,The  quality  is  top-notch.,0,Positive,-1.0 to -0.5,
33,30,2,21-02-2023,4,Shipping  was  fast  and  the  item  was  well-packaged.,0,Positive,-1.0 to -0.5,
34,81,15,30-03-2024,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,
35,27,12,13-03-2024,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,Quality & Performance
36,96,9,05-12-2025,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.01 to 0.49,
37,38,3,11-09-2023,3,"Average  experience,  nothing    special.",-0.3089,Mixed Negative,-0.49 to 0.0,Quality & Performance
38,45,17,07-05-2024,5,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,
39,54,1,02-10-2023,5,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,
40,33,2,03-01-2025,5,Five  stars    for  the  quick  delivery.,0,Positive,-1.0 to -0.5,
41,93,17,15-05-2025,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,Quality & Performance
42,72,15,21-03-2023,5,Five  stars  for  the  quick  delivery.,0,Positive,-1.0 to -0.5,
43,84,15,02-02-2025,4,Exceeded  my    expectations!,0,Positive,-1.0 to -0.5,
44,44,17,20-04-2023,5,"Excellent  product,    highly  recommend!",0.7773,Positive,0.5 to 1.0,
45,11,16,23-03-2023,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0,Pricing & Value
46,27,5,07-05-2025,4,Five  stars  for  the  quick  delivery.,0,Positive,-1.0 to -0.5,
47,19,13,01-06-2024,4,Five  stars  for  the  quick  delivery.,0,Positive,-1.0 to -0.5,
48,70,17,08-10-2023,4,Shipping  was  fast  and  the  item    was  well-packaged.,0,Positive,-1.0 to -0.5,
49,3,7,09-06-2025,3,"Good  quality,  but  could    be  cheaper.",0.2382,Mixed Positive,0.01 to 0.49,
